颜色ID,颜色注释（对应商品主表的商品属性）,颜色排序,更新时间
1015,灰色,0,20170616
1016,粉色,0,20170616
1017,黑色,10,20170616
1018,白色,9,20170616
1019,卡其,0,20170616
1020,驼色,0,20170616
1021,咖啡色,0,20170616
1022,条纹,0,20170616
1023,紫色,0,20170616
1024,如图,0,20170616
1025,蓝色,7,20170616
1026,红色,6,20170616
1027,藏蓝色,1,20170616
1028,杏色,5,20170616
1029,深蓝,0,20170616
1030,浅蓝,0,20170616
1031,绿色,0,20170616
1032,浅蓝色,5,20170616
1033,深蓝色,4,20170616
1034,烟灰,0,20170616
1035,白条纹,0,20170616
1036,黑条纹,0,20170616
1037,藏蓝条纹,0,20170616
1038,灰条纹,0,20170616
1039,粉条纹,0,20170616
1040,黄色,6,20170616
1041,豆绿,0,20170616
1042,杏色小菱格,0,20170616
1043,枣红小菱格,0,20170616
1044,杏色大格,0,20170616
1045,绿色大格,0,20170616
1046,蓝条,0,20170616
1047,黑白条,0,20170616
1048,橘红,0,20170616
1049,橙色,0,20170616
1050,蓝粉大花色,0,20170616
1051,藏蓝,0,20170616
1052,黑底白条,0,20170616
1053,白底黑条,0,20170616
1054,红底白条,0,20170616
1055,灰条,0,20170616
1056,深灰黑,0,20170616
1057,白底蓝印花,0,20170616
1058,白底红印花,0,20170616
1059,蓝格,0,20170616
1060,暗紫,0,20170616
1061,黑宽条,0,20170616
1062,灰宽条,0,20170616
1063,黑细条,0,20170616
1064,灰细条,0,20170616
1065,黑条,0,20170616
1066,粉条,0,20170616
1067,黑底红花,0,20170616
1068,黑底白花,0,20170616
1069,深蓝色花色,0,20170616
1070,粉色花色,0,20170616
1071,深灰,0,20170616
1072,香槟色,0,20170616
1073,深咖,0,20170616
1074,军绿,0,20170616
1075,格子,0,20170616
1076,紫蓝色,0,20170616
1077,玫红,0,20170616
1078,白底红花,0,20170616
1079,白底蓝花,0,20170616
1080,蓝紫色,0,20170616
1081,红黄色,0,20170616
1082,蓝绿色,0,20170616
1083,灰蓝,0,20170616
1084,浅灰,0,20170616
1085,藏青,0,20170616
1086,草绿,0,20170616
1087,白条,0,20170616
1088,黄条,0,20170616
1089,白色条纹,0,20170616
1090,黑色条纹,0,20170616
1091,白色格子,0,20170616
1092,黑色格子,0,20170616
1093,天蓝,0,20170616
1094,宝蓝,0,20170616
1095,深蓝拼接白,0,20170616
1096,浅蓝拼接白,0,20170616
1097,白拼接灰,0,20170616
1098,黑拼接黑,0,20170616
1099,豆沙绿,0,20170616
1100,红横条,0,20170616
1101,黑横条,0,20170616
1102,虾粉,0,20170616
1103,桔色,0,20170616
1104,黑底绿条,0,20170616
1105,白底绿条,0,20170616
1106,白底红条,0,20170616
1107,白底咖条,0,20170616
1108,裸色,0,20170616
1109,灰蓝色,0,20170616
1110,蓝灰色,0,20170616
1111,白底蓝条,0,20170616
1112,蓝底白条,0,20170616
1113,藏青色,0,20170616
1114,酒红,0,20170616
1115,咖条,0,20170616
1116,蓝灰,0,20170616
1117,浅绿偏杏色,0,20170616
1118,墨绿,0,20170616
1119,橘色,4,20170616
1120,深蓝花,0,20170616
1121,白花,0,20170616
1122,绿条,0,20170616
1123,大花蓝,0,20170616
1124,大花粉,0,20170616
1125,小花蓝,0,20170616
1126,小花杏,0,20170616
1127,红黑条,0,20170616
1128,红蓝条,0,20170616
1129,浅粉,0,20170616
1130,浅咖,0,20170616
1131,模特图,0,20170616
1132,木模图,0,20170616
1133,粉紫色,0,20170616
1134,灰粉色,0,20170616
1135,橙绿,0,20170616
1136,粉灰,0,20170616
1137,黄灰,0,20170616
1138,枣红,0,20170616
1139,大花,0,20170616
1140,小花,0,20170616
1141,黑白,0,20170616
1142,橘,0,20170616
1143,白杏,0,20170616
1144,红灰,0,20170616
1145,黄蓝,0,20170616
1146,黑花,0,20170616
1147,竖条,0,20170616
1148,菱形,0,20170616
1149,橘粉,0,20170616
1150,深蓝底白花,0,20170616
1151,棕色,0,20170616
1152,花色,0,20170616
1153,花式,0,20170616
1154,姜黄,0,20170616
1155,古奇花,0,20170616
1156,老花,0,20170616
1157,红花,0,20170616
1158,黄花,0,20170616
1159,白加,0,20170616
1160,白蓝,0,20170616
1161,净白,0,20170616
1162,金色,0,20170616
1163,黑色拼黄色,0,20170616
1164,深绿拼卡其色,0,20170616
1165,红条,0,20170616
1166,橘子色,0,20170616
1167,黑配橘,0,20170616
1168,杏配红,0,20170616
1169,白配灰,0,20170616
1170,蓝绿,0,20170616
1171,黑蓝,0,20170616
1172,红绿,0,20170616
1173,黑红,0,20170616
1174,格子蓝,0,20170616
1175,深军绿,0,20170616
1176,砖红,0,20170616
1177,黑底黄花,0,20170616
1178,白底黄花,0,20170616
1179,咖底黄花,0,20170616
1180,白上衣红裙子,0,20170616
1181,红上衣绿裙子,0,20170616
1182,杏绿色,0,20170616
1183,蓝花,0,20170616
1184,橘花,0,20170616
