订单ID	商品ID	售价（单价）	颜色ID	尺码ID	购买数量
338895	394362	17.32	1162	5	1
338896	394363	43.05	1026	192	2
338897	394364	39.9	1025	192	1
338898	394365	26.25	1017	120	1
338899	394366	40.95	1018	5	1
338900	394367	39.9	1017	5	1
338901	394368	63	1025	1	1
338902	394369	54.6	1017	5	1
338903	394370	74.55	1027	5	1
338904	394371	70.35	1017	1	1
338905	394372	2.63	1017	5	1
338906	394373	4.73	1017	5	1
338907	394374	35.7	1119	5	1
338908	394375	54.6	1026	5	1
338909	394376	113.4	1017	9	1
338910	394377	37.8	1029	1	1
338911	394378	127.05	1031	5	1
338912	394379	39.9	1018	5	1
338913	394380	37.8	1025	4	1
338914	394381	37.8	1025	1	1
338915	394382	4.73	1017	5	1
338916	394383	21	1162	5	1
338917	394384	4.73	1017	5	1
338918	394385	63	1017	5	1
338919	394386	63	1026	5	1
338920	394387	86.1	1018	5	1
338921	394388	65.1	1017	5	1
338922	394389	168	1024	4	1
338923	394390	168	1024	1	1
338924	394391	168	1024	2	1
338925	394392	2.63	1017	5	1
338926	394393	4.73	1017	5	1
338927	394394	157.5	1017	4	1
338928	394395	157.5	1017	1	1
338929	394396	157.5	1017	2	1
338930	394397	136.5	1017	2	1
338931	394398	57.2	1017	3	1
338932	394399	37.8	1018	5	1
338933	394400	56.7	1018	5	1
338934	394401	37.8	1017	202	1
338935	394402	41.8	1018	5	1
338936	394403	64.05	1032	5	1
338937	394404	75.6	1119	5	1
338938	394405	33.6	1278	5	1
338939	394406	43.05	1015	5	1
338940	394407	86.1	1017	5	7
338941	394408	2.63	1017	5	1
338942	394409	44.1	1016	5	1
338943	394410	11.03	1017	5	1
338944	394411	11.03	1331	5	1
338945	394412	21	1018	5	1
338946	394413	17.32	1162	5	1
338947	394414	23.1	1196	5	1
338948	394415	41.8	1018	2	1
338949	394416	14.7	1018	5	1
338950	394417	59.85	1017	5	1
338951	394418	21	1162	5	1
338952	394419	34.65	1017	5	1
338953	394420	60.9	1017	5	1
338954	394421	18.9	1017	5	2
338955	394422	18.9	1018	5	1
338956	394423	72.45	1031	1	1
338957	394424	33.6	1018	5	1
338958	394425	44.1	1023	5	1
338959	394426	44.1	2875	5	1
338960	394427	24.15	1017	5	1
338961	394428	24.15	1018	5	1
338962	394429	26.25	1018	5	1
338963	394430	231	1016	4	1
338964	394431	126	2330	4	1
338965	394432	178.5	1024	5	1
338966	394433	85.05	1025	3	1
338967	394434	69.3	1026	5	1
338968	394435	22.05	2480	5	1
338969	394436	64.05	1017	5	1
338970	394437	2.63	1017	5	1
338971	394438	6.3	1017	5	1
338972	394439	47.3	1025	1	1
338973	394440	8.4	2797	5	1
338974	394441	31.5	1017	119	1
338975	394442	26.25	1017	119	1
338976	394443	32.55	1017	190	1
338977	394444	59.85	1017	1	1
338978	394445	11.03	1331	5	1
338979	394446	18.9	1017	5	1
338980	394447	33.6	1196	5	1
338981	394448	8.4	2797	5	1
338982	394449	26.25	1017	119	1
338983	394450	32.55	1017	190	1
338984	394451	59.85	1017	1	1
338985	394452	11.03	1331	5	1
338986	394453	18.9	1018	5	1
338987	394454	25.2	1196	5	1
338988	394455	57.75	1017	1	1
338989	394456	41.8	1017	1	1
338990	394457	58.3	1018	2	1
338991	394458	91.3	1018	2	1
338992	394459	71.4	1018	5	1
338993	394460	45.15	1017	1	1
338994	394461	30.45	1018	5	1
338995	394462	24.15	1018	5	1
338996	394463	24.15	1018	5	1
338997	394464	24.15	1018	5	1
338998	394465	18.9	1018	5	1
338999	394466	29.4	1018	5	1
339000	394467	29.4	1016	5	1
339001	394468	18.9	1017	5	2
339002	394469	18.9	1018	5	2
339003	394470	48.3	1017	4	1
339004	394471	48.3	1017	1	1
339005	394472	48.3	1026	4	1
339006	394473	93.5	1018	1	1
339007	394474	48.3	2811	5	1
339008	394475	39.9	1621	5	1
339009	394476	197.4	1031	2	1
339010	394477	157.5	1024	1	1
339011	394478	5.25	1017	5	1
339012	394479	29.4	1025	5	1
339013	394480	71.4	1025	1	1
339014	394481	58.8	1018	5	1
339015	394482	54.6	1028	4	1
339016	394483	54.6	1028	1	1
339017	394484	75.6	1017	8	1
339018	394485	54.6	1024	4	1
339019	394486	54.6	1024	1	1
339020	394487	55.65	1018	5	1
339021	394488	33.6	1196	5	1
339022	394489	55.65	1018	5	1
339023	394490	26.25	1025	5	1
339024	394491	21	1196	5	1
339025	394492	55.65	1024	4	1
339026	394493	60.9	1027	5	1
339027	394494	86.1	1017	4	1
339028	394495	141.75	1152	2	1
339029	394496	157.5	1031	2	1
339030	394497	118.65	1028	5	2
339031	394498	75.6	1018	1	1
339032	394499	131.25	1018	2	1
339033	394500	57.75	1017	2	1
339034	394501	54.6	1018	2	1
339035	394502	158.55	1026	5	1
339036	394503	86.1	1018	4	1
339037	394504	86.1	1018	1	1
339038	394505	85.05	1025	4	1
339039	394506	85.05	1025	1	1
339040	394507	85.05	1025	2	1
339041	394508	116.55	1017	1	1
339042	394509	116.55	1018	1	1
339043	394510	84	1018	5	1
339044	394511	84	1028	5	1
339045	394512	65.1	1018	4	1
339046	394513	65.1	1018	1	1
339047	394514	86.1	1018	5	1
339048	394515	59.85	1017	4	1
339049	394516	59.85	1017	1	1
339050	394517	59.85	1017	2	2
339051	394518	24.15	1162	5	1
339052	394519	33.6	1018	5	1
339053	394520	39.9	1017	5	1
